match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T205672,Super Kings Vs Royals,Super Kings,Shardul Thakur,4,0,30,2,7.5,11,3,1,2,0
T205672,Super Kings Vs Royals,Super Kings,KMAsif ,2.1,0,18,1,8.3,2,1,0,0,1
T205672,Super Kings Vs Royals,Super Kings,Moeen Ali,2.2,0,23,0,9.85,4,1,2,0,0
T205672,Super Kings Vs Royals,Super Kings,Ravindra Jadeja,1,0,9,0,9,3,0,1,0,0
T209349,Mumbai Vs Capitals,Capitals,Anrich Nortje,4,1,19,1,4.75,15,3,0,0,0
T209349,Mumbai Vs Capitals,Capitals,Avesh Khan,4,0,15,3,3.75,16,2,0,1,0
T209349,Mumbai Vs Capitals,Capitals,Ravichandran Ashwin,4,0,41,1,10.25,6,2,3,2,0
T209349,Mumbai Vs Capitals,Capitals,Kagiso Rabada,4,0,33,0,8.25,9,1,2,1,1
T209349,Mumbai Vs Capitals,Capitals,Axar Patel,4,0,21,3,5.25,8,1,0,1,0
T209349,Mumbai Vs Capitals,Mumbai,Trent Boult,4,0,24,1,6,7,1,0,1,0
T209349,Mumbai Vs Capitals,Mumbai,Jayant Yadav,4,0,31,1,7.75,9,2,1,1,0
T209349,Mumbai Vs Capitals,Mumbai,Krunal Pandya,2.1,0,18,1,8.3,5,0,2,0,0
T209349,Mumbai Vs Capitals,Mumbai,Jasprit Bumrah,4,0,29,1,7.25,10,3,1,0,0
T209349,Mumbai Vs Capitals,Mumbai,Nathan CoulterNile,4,0,19,1,4.75,12,2,0,0,0
T209349,Mumbai Vs Capitals,Mumbai,Kieron Pollard,1,0,9,0,9,2,1,0,2,0
T201051,KKR Vs Punjab Kings,Punjab Kings,Fabian Allen,4,0,38,0,9.5,5,3,2,0,0
T201051,KKR Vs Punjab Kings,Punjab Kings,Mohammed Shami,4,0,23,1,5.75,10,2,0,1,0
T201051,KKR Vs Punjab Kings,Punjab Kings,Arshdeep Singh,4,0,32,3,8,10,2,1,2,0
T201051,KKR Vs Punjab Kings,Punjab Kings,Nathan Ellis,4,0,46,0,11.5,4,6,1,1,0
T201051,KKR Vs Punjab Kings,Punjab Kings,Ravi Bishnoi,4,0,22,2,5.5,9,2,0,0,0
T201051,KKR Vs Punjab Kings,KKR,Tim Southee,4,0,40,0,10,5,3,2,1,0
T201051,KKR Vs Punjab Kings,KKR,Shivam Mavi,4,0,31,1,7.75,12,4,1,0,0
